title,make,model,year,condition,transmission,price
Jeep Wrangler Sport 4x4 2019 Blue,Jeep,Wrangler,,foreign used,automatic,"₦ 65,000,000"
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 Brown,Toyota,Camry,,foreign used,automatic,"₦ 23,000,000"
Mercedes-Benz M Class ML 350 4Matic 2013 White,,,,foreign used,automatic,"₦ 26,500,000"
Toyota Land Cruiser Prado 4.0 V6 Dual VVT-i 2015 Silver,Toyota,Land,,foreign used,automatic,"₦ 65,000,000"
Toyota Corolla 1.8 LE 2008 Green,Toyota,Corolla,,local used,automatic,"₦ 6,200,000"
Lexus GX 460 Premium 2013 White,Lexus,GX,,foreign used,automatic,"₦ 36,500,000"
Lexus RX 330 2005 White,Lexus,RX,,local used,automatic,"₦ 8,950,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,"₦ 6,480,000"
New Hyundai Sonata 2010 Silver,New,Hyundai,,new,automatic,"₦ 11,000,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,"₦ 6,480,000"
Volkswagen Vento 2001 Red,Volkswagen,Vento,2001,foreign used,manual,"₦ 6,820,000"
Honda Accord 2007 Gray,Honda,Accord,2007,local used,automatic,"₦ 3,410,000"
Toyota Camry 2009,Toyota,Camry,2009,local used,automatic,"₦ 5,700,000"
Toyota Tacoma 2008 Blue,Toyota,Tacoma,2008,local used,automatic,"₦ 9,200,000"
Lexus RX 300 2003 Silver,Lexus,RX,,local used,automatic,"₦ 4,500,000"
New Volkswagen Tiguan 2022 White,New,Volkswagen,,new,automatic,"₦ 37,500,000"
Mercedes-Benz M Class ML 350 4x2 2013 Silver,,,,foreign used,automatic,"₦ 22,500,000"
Mercedes-Benz C300 Base 4Matic Sedan AWD (2.0L 4cyl 7A) 2016 White,,,,foreign used,automatic,"₦ 21,500,000"
Mercedes-Benz GLA 250 2015 Red,,,,foreign used,automatic,"₦ 24,000,000"
Toyota Highlander Limited Platinum 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander,,foreign used,automatic,"₦ 41,000,000"
Toyota Camry XLE 4dr Sedan (2.4L 4cyl 5A) 2009 Red,Toyota,Camry,,foreign used,automatic,"₦ 10,500,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry,,foreign used,automatic,"₦ 19,500,000"
Mercedes-Benz GLC-Class 2018 White,,,,foreign used,automatic,"₦ 37,000,000"
Toyota Sienna 2004 Gray,Toyota,Sienna,2004,local used,automatic,"₦ 6,328,125"
Toyota Matrix 2004 Gray,Toyota,Matrix,2004,local used,automatic,"₦ 4,620,000"
Honda Accord 2008 Burgandy,Honda,Accord,2008,local used,automatic,"₦ 5,400,000"
Volkswagen Jetta 2013 Silver,Volkswagen,Jetta,2013,foreign used,automatic,"₦ 14,300,000"
Honda Civic 1.8 Sedan EX Automatic 2007 Black,Honda,Civic,,local used,automatic,"₦ 5,292,000"
Volkswagen Passat 2009 Black,Volkswagen,Passat,2009,local used,automatic,"₦ 3,520,000"
Toyota Camry 2000 Gold,Toyota,Camry,2000,local used,automatic,"₦ 2,000,000"
Toyota Camry 2010 White,Toyota,Camry,2010,local used,automatic,"₦ 6,500,000"
Toyota Matrix 2009 Blue,Toyota,Matrix,2009,local used,automatic,"₦ 7,500,000"
Nissan Almera Tino 2002 Beige,Nissan,Almera,,foreign used,automatic,"₦ 4,000,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,"₦ 4,000,000"
Lexus ES 350 2008 Gray,Lexus,ES,,foreign used,automatic,"₦ 13,500,000"
Lexus RX 350 2011 White,Lexus,RX,,foreign used,automatic,"₦ 22,500,000"
Land Rover Range Rover Vogue 2019 Gray,Land,Rover,,foreign used,automatic,"₦ 85,000,000"
Toyota Sequoia Platinum FFV 4dr SUV 4WD (5.7L 8cyl 6A) 2015 Black,Toyota,Sequoia,,foreign used,automatic,"₦ 27,000,000"
Mercedes-Benz C300 Luxury Sedan RWD (3.0L 6cyl 7A) 2009 White,,,,foreign used,automatic,"₦ 9,800,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Gold,Toyota,Camry,,foreign used,automatic,"₦ 13,000,000"
Honda Accord 2007 Gray,Honda,Accord,2007,local used,automatic,"₦ 2,750,000"
Land Rover Range Rover Sport 2009 Black,Land,Rover,,local used,automatic,"₦ 6,050,000"
Honda Accord 2005 White,Honda,Accord,2005,local used,automatic,"₦ 2,750,000"
Honda Pilot 2005 Green,Honda,Pilot,2005,local used,automatic,"₦ 4,320,000"
Hyundai Azera 2008 Black,Hyundai,Azera,2008,local used,automatic,"₦ 4,400,000"
Mazda B-series 1996 Green,Mazda,B-series,1996,local used,manual,"₦ 6,490,000"
Volvo XC90 2006 Red,Volvo,XC90,2006,local used,automatic,"₦ 6,600,000"
Infiniti M 2007 Silver,Infiniti,M,2007,local used,automatic,"₦ 9,900,000"
Toyota Aygo 2006,Toyota,Aygo,2006,foreign used,manual,"₦ 5,000,000"
Opel Zafira 2005 Silver,Opel,Zafira,2005,foreign used,manual,"₦ 5,500,000"
Toyota Corolla 2005,Toyota,Corolla,2005,local used,automatic,"₦ 5,000,000"
Pontiac Vibe 2.4 4WD 2010 Silver,Pontiac,Vibe,,local used,automatic,"₦ 6,500,000"
Toyota Tacoma 2011 Black,Toyota,Tacoma,2011,local used,automatic,"₦ 10,500,000"
Lexus RX 350 2017 Gray,Lexus,RX,,foreign used,automatic,"₦ 44,500,000"
Honda Accord Crosstour EX-L AWD 2015 Black,Honda,Accord,,foreign used,automatic,"₦ 15,000,000"
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2013 Black,Toyota,Avalon,,foreign used,automatic,"₦ 20,500,000"
Toyota Camry XSE FWD 2020 Red,Toyota,Camry,,foreign used,automatic,"₦ 35,000,000"
Mercedes-Benz GLC-Class 2017 White,,,,foreign used,automatic,"₦ 36,500,000"
Mercedes-Benz GLE-Class GLE 350 2017 White,,,,foreign used,automatic,"₦ 31,000,000"
Lexus RX 330 4WD 2005 Gold,Lexus,RX,,foreign used,automatic,"₦ 15,000,000"
Lexus TX TX 350 FWD 2024 Black,Lexus,TX,,foreign used,automatic,"₦ 160,000,000"
Toyota Highlander XLE 2021 Black,Toyota,Highlander,,foreign used,automatic,"₦ 66,000,000"
Land Rover Range Rover Sport Autobiography 2019 Gray,Land,Rover,,foreign used,automatic,"₦ 102,000,000"
New Mercedes-Benz G-Class G 63 AMG 2023 Matt Black,New,Mercedes-Benz,,new,automatic,"₦ 430,000,000"
Bentley Bentayga Design Edition AWD 2020 Gold,Bentley,Bentayga,,foreign used,automatic,"₦ 210,000,000"
Lexus RX 350 2016 Blue,Lexus,RX,,foreign used,automatic,"₦ 45,000,000"
Toyota Highlander XSE 2021 Blue,Toyota,Highlander,,foreign used,automatic,"₦ 68,000,000"
Toyota Corolla XSE 2021 Silver,Toyota,Corolla,,foreign used,automatic,"₦ 26,000,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Silver,,,,foreign used,automatic,"₦ 25,000,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyl 7A) 2017 White,,,,foreign used,automatic,"₦ 25,000,000"
Toyota Corolla LE 2023 Red,Toyota,Corolla,,foreign used,automatic,"₦ 29,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2011 Black,,,,foreign used,automatic,"₦ 15,500,000"
Lexus IS 250 2008 Black,Lexus,IS,,foreign used,automatic,"₦ 11,500,000"
Toyota Camry SE Sport 4dr Sedan (2.5L 4cyl 6A) 2014 White,Toyota,Camry,,foreign used,automatic,"₦ 15,000,000"
